user_id,timestamp,operation,device_id,location_lat,location_lon,login_count_day,is_success,label
U2310,2025-10-28T00:40:47.461666,view_service,DEV_2309_0,24.516338497355882,46.98732292197268,6,1,0
U1856,2025-10-16T20:23:20.870004,login,DEV_1855_1,25.185420635958245,46.022598118570336,3,1,0
U1428,2025-10-19T18:23:36.170210,login,DEV_1427_0,25.26526527999781,46.141780852607056,3,1,0
U235,2025-10-29T18:41:23.003296,login,DEV_234_0,24.037201944302552,46.300441850924614,3,1,0
U22,2025-10-01T09:59:49.499830,login,DEV_21_0,24.329233291066345,46.509712628843744,2,1,0
U1453,2025-10-16T01:29:34.298261,login,DEV_1452_1,24.739800580083642,46.674668399491274,5,1,0
U2325,2025-10-14T06:08:56.698787,view_service,DEV_2324_1,24.447866802411422,46.63597632754243,3,1,0
U534,2025-10-06T15:35:04.802579,reset_password,DEV_533_0,25.01180936957144,47.0117850843242,4,1,0
U1199,2025-10-17T09:59:19.271980,login,DEV_1198_1,24.800311466600103,46.359043553080554,1,1,0
U1748,2025-10-02T21:01:40.831176,change_phone,DEV_1747_0,24.911397827033323,47.03108113255482,1,1,0
U2765,2025-10-26T06:39:04.407454,login,DEV_2764_0,24.33843831012728,46.433208096567995,4,1,0
U3614,2025-10-17T23:35:40.249821,pay_fee,DEV_3613_0,24.892705141948813,46.51499143479203,2,1,0
U933,2025-10-27T10:10:58.667153,login,NEWDEV_740fde,24.588137236364712,47.09350237092498,2,1,0
U3534,2025-10-20T05:25:43.942423,submit_form,DEV_3533_0,24.330939276679267,47.03298590441018,2,1,0
U1398,2025-10-27T18:28:54.438471,view_service,DEV_1397_1,24.493268628309643,47.01099879916394,3,1,0
U832,2025-10-04T02:37:48.807332,view_service,DEV_831_0,24.86024024275302,46.634428698957564,1,1,0
U1775,2025-10-04T03:40:28.425456,login,DEV_1774_0,24.100347181932396,46.20462463046429,4,1,0
U3829,2025-10-05T09:57:20.116740,view_service,DEV_3828_0,24.8012171379875,47.087772534060484,0,1,0
U1783,2025-10-11T21:21:09.958392,pay_fee,DEV_1782_0,24.628412628515843,47.14268434782864,3,1,0
U3206,2025-10-26T14:10:15.077984,login,DEV_3205_0,24.55643327543633,45.96229224970454,1,1,0
U3810,2025-10-27T23:49:47.558892,submit_form,DEV_3809_1,24.83729827721619,46.36731370967212,1,1,0
U2143,2025-10-17T00:34:22.028454,login,DEV_2142_0,24.518981075146677,47.10744805862368,1,1,0
U1891,2025-10-22T03:35:58.135823,login,DEV_1890_1,24.760919455691216,47.00235034393743,5,1,0
U2870,2025-10-21T03:42:47.680360,issue_power,NEWDEV_91bd88,26.445591289336527,47.94451939602962,1,1,1
U518,2025-10-20T14:38:32.604780,login,DEV_517_0,25.403350382746194,46.57858204311829,4,1,0
U1250,2025-10-07T02:15:43.004497,view_service,DEV_1249_0,24.544821739470947,46.870601968894036,0,1,0
U2530,2025-10-03T12:05:49.824996,view_service,DEV_2529_0,24.38588666923094,46.813271053659,2,1,0
U767,2025-10-12T05:25:57.498015,login,DEV_766_0,23.890313818204795,46.92889549275108,2,1,0
U3885,2025-10-07T22:22:24.246386,login,NEWDEV_2ace34,25.199578285928613,46.891233189776095,3,1,0
U916,2025-10-26T15:34:24.869564,submit_form,DEV_915_0,24.82766008333586,47.13130495118678,1,1,0
U672,2025-10-28T09:39:28.548655,submit_form,DEV_671_0,23.880468764562174,46.66418106570464,1,1,0
U3650,2025-10-26T20:48:39.838171,login,DEV_3649_0,23.63007407983423,46.794011079654034,2,1,0
U1706,2025-10-04T07:18:53.018228,issue_power,DEV_1705_0,25.44253769001621,46.26842961826013,2,1,0
U2698,2025-10-01T13:39:36.792983,submit_form,DEV_2697_0,24.827818284881218,45.912744029590996,1,1,0
U3375,2025-10-14T20:08:59.762425,login,DEV_3374_0,24.66295839221055,46.50814285757274,0,1,0
U2290,2025-10-11T02:57:31.907027,login,DEV_2289_1,24.073170495879143,46.10625281564006,5,1,0
U3804,2025-10-12T00:27:55.734220,login,DEV_3803_0,24.709199233807286,46.64035837876216,1,1,0
U2644,2025-10-14T15:56:33.941905,view_service,DEV_2643_0,24.529458771162453,46.92585768083619,3,1,0
